Texts,Text_Level,MLS,MLT,MLC,C.S,VP.T,C.T,DC.C,DC.T,T.S,CT.T,CP.T,CP.C,CN.T,CN.C
ELA0030_12.txt,12,20.4286,17.3738,9.1127,2.2418,2.5047,1.9065,0.3578,0.6822,1.1758,0.4299,0.4579,0.2402,2.0467,1.0735
ELA0031_3.txt,3,8.8254,8.9677,7.3158,1.2063,1.2903,1.2258,0.1711,0.2097,0.9841,0.1452,0.0161,0.0132,0.8226,0.6711
ELA0032_5.txt,5,11.4906,11.4906,8.3425,1.3774,1.4717,1.3774,0.2329,0.3208,1,0.2264,0.1321,0.0959,1.1321,0.8219
ELA0033_7.txt,7,14.5,14.8718,10,1.45,1.6154,1.4872,0.3103,0.4615,0.975,0.2821,0.2821,0.1897,1.6154,1.0862
ELA0034_9.txt,9,17.2812,17.2812,10.0545,1.7188,1.8438,1.7188,0.3636,0.625,1,0.375,0.3438,0.2,2.0312,1.1818
ELA0035_12.txt,12,24.2381,23.1364,11.3111,2.1429,2.3636,2.0455,0.4667,0.9545,1.0476,0.5455,0.5,0.2444,2.7727,1.3556
ELA0036_3.txt,3,8.9848,9.1231,8.4714,1.0606,1.2,1.0769,0.0714,0.0769,0.9848,0.0769,0.0462,0.0429,0.9077,0.8429
ELA0037_5.txt,5,11.7021,11.7021,10.7843,1.0851,1.2553,1.0851,0.0784,0.0851,1,0.0638,0.1915,0.1765,1.2553,1.1569
ELA0038_7.txt,7,15.4595,15.0526,13,1.1892,1.4211,1.1579,0.1364,0.1579,1.027,0.1053,0.4474,0.3864,1.7105,1.4773
ELA0039_9.txt,9,19.5667,18.3438,14.3171,1.3667,1.5938,1.2812,0.1951,0.25,1.0667,0.1875,0.5625,0.439,2.1875,1.7073
ELA0040_12.txt,12,23.8077,23.8077,18.2059,1.3077,1.9231,1.3077,0.2353,0.3077,1,0.2308,0.6923,0.5294,2.9615,2.2647
ELA0041_3.txt,3,9,9,7.2254,1.2456,1.5088,1.2456,0.1268,0.1579,1,0.1579,0.0877,0.0704,0.7719,0.6197
ELA0042_5.txt,5,11.3594,11.5397,8.1685,1.3906,1.6825,1.4127,0.1798,0.254,0.9844,0.1905,0.1429,0.1011,1.254,0.8876
ELA0043_7.txt,7,14.9831,15.7857,10.0455,1.4915,1.9643,1.5714,0.2841,0.4464,0.9492,0.3036,0.3036,0.1932,1.7321,1.1023
ELA0044_9.txt,9,18.0741,17.1228,9.8586,1.8333,2.193,1.7368,0.3434,0.5965,1.0556,0.4035,0.3509,0.202,2,1.1515
ELA0045_12.txt,12,21.6429,20.6591,10.8214,2,2.4545,1.9091,0.369,0.7045,1.0476,0.4545,0.4318,0.2262,2.4318,1.2738
ELA0046_3.txt,3,9.8182,10.1887,8.3077,1.1818,1.5849,1.2264,0.1692,0.2075,0.9636,0.2075,0.0377,0.0308,0.9811,0.8
ELA0047_5.txt,5,12.4062,12.4062,9.2326,1.3438,1.75,1.3438,0.2209,0.2969,1,0.2344,0.1562,0.1163,1.2656,0.9419
ELA0048_7.txt,7,16.1129,16.1129,9.99,1.6129,2.1129,1.6129,0.33,0.5323,1,0.4516,0.2419,0.15,1.9355,1.2
ELA0049_9.txt,9,19.8545,19.1579,10.8119,1.8364,2.3509,1.7719,0.3861,0.6842,1.0364,0.5439,0.2456,0.1386,2.2456,1.2673
ELA0050_12.txt,12,21.5488,18.7979,10.2139,2.1098,2.4787,1.8404,0.4104,0.7553,1.1463,0.5638,0.234,0.1272,2.266,1.2312
ELA0051_3.txt,3,7.8113,7.6667,6.2727,1.2453,1.3704,1.2222,0.1515,0.1852,1.0189,0.1852,0.0926,0.0758,0.8519,0.697
ELA0052_5.txt,5,11.807,11.807,8.7403,1.3509,1.6316,1.3509,0.2468,0.3333,1,0.2456,0.193,0.1429,1.4211,1.0519
ELA0053_7.txt,7,14.4667,13.5625,9.4348,1.5333,1.7656,1.4375,0.2826,0.4062,1.0667,0.3281,0.3438,0.2391,1.7031,1.1848
ELA0054_9.txt,9,17.1429,15.4839,10.4348,1.6429,1.9032,1.4839,0.2935,0.4355,1.1071,0.4032,0.3871,0.2609,1.8548,1.25
ELA0055_12.txt,12,18.1029,16.863,11.2936,1.6029,1.9178,1.4932,0.2661,0.3973,1.0735,0.274,0.3562,0.2385,2.1781,1.4587
ELA0056_3.txt,3,8.3293,8.3293,7.1146,1.1707,1.2805,1.1707,0.1146,0.1341,1,0.1341,0.0732,0.0625,0.9268,0.7917
ELA0057_5.txt,5,11.5405,11.6986,8.54,1.3514,1.6575,1.3699,0.26,0.3562,0.9865,0.2603,0.2055,0.15,1.4932,1.09
ELA0058_7.txt,7,14.1549,14.1549,9.3925,1.507,1.8028,1.507,0.2991,0.4507,1,0.2817,0.2817,0.1869,1.9577,1.2991
ELA0059_9.txt,9,17.661,17.9655,10.42,1.6949,2.0517,1.7241,0.35,0.6034,0.9831,0.3966,0.3621,0.21,2.4828,1.44
ELA0060_12.txt,12,21.0847,19.746,10.4538,2.0169,2.3333,1.8889,0.3697,0.6984,1.0678,0.4762,0.4286,0.2269,2.5873,1.3697
ELA0061_3.txt,3,9.2292,9.2292,8.2037,1.125,1.375,1.125,0.0741,0.0833,1,0.0833,0.1458,0.1296,0.7708,0.6852
ELA0062_5.txt,5,12.7119,12.931,9.7403,1.3051,1.7069,1.3276,0.1818,0.2414,0.9831,0.2241,0.2931,0.2208,1.3276,1
ELA0063_7.txt,7,16.6545,16.6545,10.2921,1.6182,2.1273,1.6182,0.3146,0.5091,1,0.4182,0.4545,0.2809,1.9455,1.2022
ELA0064_9.txt,9,19.1321,18.1071,10.7872,1.7736,2.2857,1.6786,0.3617,0.6071,1.0566,0.4643,0.5179,0.3085,2.125,1.266
ELA0065_12.txt,12,20.0185,19.6545,10.1981,1.963,2.5273,1.9273,0.4057,0.7818,1.0185,0.4909,0.5818,0.3019,2.2,1.1415
ELA0066_3.txt,3,8.566,8.7308,6.0533,1.4151,1.5385,1.4423,0.2533,0.3654,0.9811,0.3077,0.0192,0.0133,1.0192,0.7067
ELA0067_5.txt,5,12.3333,12.566,7.5682,1.6296,1.9057,1.6604,0.3182,0.5283,0.9815,0.3774,0.1698,0.1023,1.6792,1.0114
ELA0068_7.txt,7,14,14.2295,9.5385,1.4677,1.7213,1.4918,0.2418,0.3607,0.9839,0.2295,0.2951,0.1978,1.8689,1.2527
ELA0069_9.txt,9,16.7759,17.0702,10.2421,1.6379,1.9649,1.6667,0.2737,0.4561,0.9828,0.3158,0.2982,0.1789,2.1579,1.2947
ELA0070_12.txt,12,23.875,20.3191,11.1047,2.15,2.2553,1.8298,0.314,0.5745,1.175,0.4043,0.383,0.2093,2.6383,1.4419
ELA0071_3.txt,3,9.0152,9.1538,6.0714,1.4848,1.7846,1.5077,0.2755,0.4154,0.9848,0.3538,0.0923,0.0612,0.9846,0.6531
ELA0072_5.txt,5,12.0811,11.6104,7.9821,1.5135,1.8571,1.4545,0.25,0.3636,1.0405,0.3117,0.1558,0.1071,1.2208,0.8393
ELA0073_7.txt,7,15.4127,14.7121,9.0748,1.6984,2.1667,1.6212,0.3084,0.5,1.0476,0.4091,0.2121,0.1308,1.6667,1.028
ELA0074_9.txt,9,18.3214,17.1,9.8654,1.8571,2.45,1.7333,0.3462,0.6,1.0714,0.5,0.25,0.1442,1.9167,1.1058
ELA0075_12.txt,12,23.7273,21.0484,10.7851,2.2,2.8226,1.9516,0.3884,0.7581,1.1273,0.5484,0.371,0.1901,2.4355,1.2479
ELA0076_3.txt,3,8.9545,8.9545,7.2963,1.2273,1.3864,1.2273,0.1667,0.2045,1,0.2045,0.0682,0.0556,0.9091,0.7407
ELA0077_5.txt,5,11.8197,11.4444,7.7527,1.5246,1.8571,1.4762,0.2796,0.4127,1.0328,0.3492,0.1111,0.0753,1.3651,0.9247
ELA0078_7.txt,7,15.8333,14.7414,9,1.7593,2.0172,1.6379,0.3053,0.5,1.0741,0.3448,0.1552,0.0947,2.069,1.2632
ELA0079_9.txt,9,18.9623,16.75,10.1515,1.8679,2.1167,1.65,0.3131,0.5167,1.1321,0.3667,0.2667,0.1616,2.1667,1.3131
ELA0080_12.txt,12,22.3846,20.4211,11.1923,2,2.3684,1.8246,0.3462,0.6316,1.0962,0.4912,0.5088,0.2788,2.7193,1.4904
ELA0081_3.txt,3,9.7674,9.7674,7.2414,1.3488,1.6279,1.3488,0.2069,0.2791,1,0.2558,0.093,0.069,1.2558,0.931
ELA0082_5.txt,5,12.9259,12.2456,8.4096,1.537,1.7895,1.4561,0.1928,0.2807,1.0556,0.2456,0.193,0.1325,1.4912,1.0241
ELA0083_7.txt,7,15.814,14.1667,9.4444,1.6744,1.9375,1.5,0.2222,0.3333,1.1163,0.3333,0.2708,0.1806,1.75,1.1667
ELA0084_9.txt,9,19.7429,18.1842,9.8714,2,2.3684,1.8421,0.3429,0.6316,1.0857,0.3947,0.4211,0.2286,2.2632,1.2286
ELA0085_12.txt,12,22.9643,19.4848,10.2063,2.25,2.5152,1.9091,0.3968,0.7576,1.1786,0.5152,0.3636,0.1905,2.2727,1.1905
ELA0086_3.txt,3,8.52,8.52,6.871,1.24,1.32,1.24,0.1935,0.24,1,0.24,0.18,0.1452,0.76,0.6129
ELA0087_5.txt,5,10.8462,11.0156,8.9241,1.2154,1.3281,1.2344,0.2025,0.25,0.9846,0.25,0.2969,0.2405,1.0938,0.8861
ELA0088_7.txt,7,13.1343,12.5714,9.3617,1.403,1.4571,1.3429,0.234,0.3143,1.0448,0.2857,0.3,0.2234,1.4143,1.0532
ELA0089_9.txt,9,16.4667,15.4375,10.5106,1.5667,1.625,1.4688,0.3085,0.4531,1.0667,0.3906,0.3594,0.2447,1.7812,1.2128
ELA0090_12.txt,12,23.4889,22.4894,12.4353,1.8889,2.0426,1.8085,0.4,0.7234,1.0444,0.617,0.5106,0.2824,2.8723,1.5882
ELA0091_3.txt,3,8.7391,8.9333,7.0526,1.2391,1.6889,1.2667,0.2105,0.2667,0.9783,0.2444,0.0667,0.0526,0.7778,0.614
ELA0092_5.txt,5,12.7736,12.537,8.7922,1.4528,1.9444,1.4259,0.2987,0.4259,1.0189,0.3704,0.1852,0.1299,1.3333,0.9351
ELA0093_7.txt,7,16.5636,16.2679,8.8447,1.8727,2.3571,1.8393,0.4175,0.7679,1.0182,0.5357,0.2321,0.1262,1.9286,1.0485
ELA0094_9.txt,9,19.4151,18.7091,9.4404,2.0566,2.6,1.9818,0.4404,0.8727,1.0377,0.6182,0.3455,0.1743,2.1818,1.1009
ELA0095_12.txt,12,27.386,21.6806,10.993,2.4912,2.5417,1.9722,0.4155,0.8194,1.2632,0.5139,0.4167,0.2113,2.5556,1.2958
ELA0096_3.txt,3,8.5283,8.8627,6.9538,1.2264,1.4706,1.2745,0.1846,0.2353,0.9623,0.2157,0.1373,0.1077,0.5686,0.4462
ELA0097_5.txt,5,11.875,11.4655,8.2099,1.4464,1.7931,1.3966,0.2469,0.3448,1.0357,0.3103,0.2241,0.1605,1.1034,0.7901
ELA0098_7.txt,7,15.2545,14.7193,9.0215,1.6909,2.0702,1.6316,0.3118,0.5088,1.0364,0.4035,0.3333,0.2043,1.5263,0.9355
ELA0099_9.txt,9,17.9375,16.2453,9.8966,1.8125,2.2264,1.6415,0.3103,0.5094,1.1042,0.4151,0.3962,0.2414,1.8491,1.1264
ELA0100_12.txt,12,22.3235,19.4615,10.3973,2.1471,2.5641,1.8718,0.3836,0.7179,1.1471,0.5128,0.5641,0.3014,2.2564,1.2055
ELA0101_3.txt,3,8.7407,8.7407,6.2105,1.4074,1.7037,1.4074,0.1447,0.2037,1,0.2037,0.0741,0.0526,0.6667,0.4737
ELA0102_5.txt,5,11.6,11.7966,7.6484,1.5167,1.9492,1.5424,0.2527,0.3898,0.9833,0.3898,0.2542,0.1648,1.1525,0.7473
ELA0103_7.txt,7,14.4314,14.4314,9.6842,1.4902,1.9216,1.4902,0.2237,0.3333,1,0.3333,0.3922,0.2632,1.549,1.0395
ELA0104_9.txt,9,16.8974,16.8974,11.7679,1.4359,2.2564,1.4359,0.2857,0.4103,1,0.359,0.4615,0.3214,1.9487,1.3571
ELA0105_12.txt,12,23.92,22.1481,13.907,1.72,2.7407,1.5926,0.3488,0.5556,1.08,0.4444,0.6667,0.4186,2.8889,1.814
ELA0106_3.txt,3,9.1224,9.9333,8.5962,1.0612,1.4444,1.1556,0.1154,0.1333,0.9184,0.1111,0.2889,0.25,0.8,0.6923
ELA0107_5.txt,5,11.9831,11.5902,8.8375,1.3559,1.6721,1.3115,0.2,0.2623,1.0339,0.2295,0.2951,0.225,1.0656,0.8125
ELA0108_7.txt,7,15.4,15.1475,10.6207,1.45,2.0164,1.4262,0.2529,0.3607,1.0167,0.3115,0.3934,0.2759,1.6066,1.1264
ELA0109_9.txt,9,18.7018,17.7667,11.2211,1.6667,2.2833,1.5833,0.3053,0.4833,1.0526,0.4,0.4167,0.2632,1.8667,1.1789
ELA0110_12.txt,12,20.8868,19.0862,11.4124,1.8302,2.3103,1.6724,0.3402,0.569,1.0943,0.431,0.5172,0.3093,2.0345,1.2165
ELA0111_3.txt,3,8.84,8.84,6.4058,1.38,1.5,1.38,0.1449,0.2,1,0.18,0.08,0.058,0.78,0.5652
ELA0112_5.txt,5,11.8167,11.4355,7.7912,1.5167,1.6774,1.4677,0.2418,0.3548,1.0333,0.2581,0.1613,0.1099,1.2581,0.8571
ELA0113_7.txt,7,14.6458,13.5192,8.369,1.75,1.8269,1.6154,0.3214,0.5192,1.0833,0.3462,0.2115,0.131,1.5385,0.9524
ELA0114_9.txt,9,17.3,15.7273,8.5432,2.025,2.1136,1.8409,0.358,0.6591,1.1,0.4091,0.3182,0.1728,2.0455,1.1111
ELA0115_12.txt,12,19.6765,18.5833,8.6883,2.2647,2.4444,2.1389,0.4286,0.9167,1.0588,0.5556,0.3889,0.1818,2.4444,1.1429
ELA0116_3.txt,3,9.4865,9.4865,7.6304,1.2432,1.7297,1.2432,0.1957,0.2432,1,0.2432,0.1622,0.1304,0.8378,0.6739
ELA0117_5.txt,5,12,12,9.6,1.25,1.625,1.25,0.1286,0.1607,1,0.1429,0.2679,0.2143,1.3214,1.0571
ELA0118_7.txt,7,15.2292,14.9184,12.6034,1.2083,1.6531,1.1837,0.0862,0.102,1.0208,0.102,0.2857,0.2414,2.0204,1.7069
ELA0119_9.txt,9,19.0541,17.625,14.6875,1.2973,1.875,1.2,0.1042,0.125,1.0811,0.125,0.375,0.3125,2.4,2
ELA0120_12.txt,12,24.8519,22.3667,17.2051,1.4444,2.2333,1.3,0.1538,0.2,1.1111,0.2,0.5333,0.4103,3.1667,2.4359
ELA0121_3.txt,3,8.5745,8.5745,6.5,1.3191,1.5745,1.3191,0.2581,0.3404,1,0.2766,0.0851,0.0645,1.0851,0.8226
ELA0122_5.txt,5,12.4074,11.7544,8.375,1.4815,1.6842,1.4035,0.275,0.386,1.0556,0.3684,0.2281,0.1625,1.4737,1.05
ELA0123_7.txt,7,16.4444,16.1455,9.6522,1.7037,2.0364,1.6727,0.337,0.5636,1.0185,0.4545,0.3636,0.2174,1.8909,1.1304
ELA0124_9.txt,9,18.8654,17.2105,10.1134,1.8654,2.193,1.7018,0.3299,0.5614,1.0962,0.4386,0.3684,0.2165,2.0702,1.2165
ELA0125_12.txt,12,25.0851,20.6842,10.8165,2.3191,2.5088,1.9123,0.3578,0.6842,1.2128,0.5263,0.5088,0.2661,2.614,1.367
ELA0126_3.txt,3,8.6458,9.0217,6.194,1.3958,1.6087,1.4565,0.2687,0.3913,0.9583,0.3696,0.0652,0.0448,0.8696,0.597
ELA0127_5.txt,5,11.25,11.7391,6.9231,1.625,1.9783,1.6957,0.3333,0.5652,0.9583,0.413,0.0652,0.0385,1.3261,0.7821
ELA0128_7.txt,7,13.8605,14.1905,8.5143,1.6279,2.0476,1.6667,0.3571,0.5952,0.9767,0.3571,0.2143,0.1286,1.6429,0.9857
ELA0129_9.txt,9,16.7273,18.4,9.2,1.8182,2.4333,2,0.45,0.9,0.9091,0.5333,0.4,0.2,2.3667,1.1833
ELA0130_12.txt,12,23.4583,22.52,9.2295,2.5417,2.88,2.44,0.5246,1.28,1.0417,0.6,0.44,0.1803,2.96,1.2131
ELA0131_3.txt,3,9.6818,9.4667,6.2647,1.5455,1.7556,1.5111,0.3235,0.4889,1.0227,0.4222,0.0889,0.0588,0.9111,0.6029
ELA0132_5.txt,5,12.075,12.075,7.7903,1.55,1.825,1.55,0.2742,0.425,1,0.375,0.225,0.1452,1.45,0.9355
ELA0133_7.txt,7,15.1724,14.6667,8.6275,1.7586,1.9333,1.7,0.2745,0.4667,1.0345,0.4,0.3333,0.1961,1.9667,1.1569
ELA0134_9.txt,9,19,18.1364,9.7317,1.9524,2.3636,1.8636,0.2683,0.5,1.0476,0.3636,0.4545,0.2439,2.3182,1.2439
ELA0135_12.txt,12,22.8824,21.6111,10.2368,2.2353,2.7222,2.1111,0.2368,0.5,1.0588,0.4444,0.6111,0.2895,2.4444,1.1579
ELA0136_3.txt,3,8.45,8.45,7.0417,1.2,1.25,1.2,0.1875,0.225,1,0.2,0.225,0.1875,1.025,0.8542
ELA0137_5.txt,5,11.1724,11.1724,9,1.2414,1.4655,1.2414,0.2222,0.2759,1,0.2241,0.3276,0.2639,1.3621,1.0972
ELA0138_7.txt,7,13.2239,12.8406,9.9551,1.3284,1.5507,1.2899,0.236,0.3043,1.0299,0.2319,0.3478,0.2697,1.6522,1.2809
ELA0139_9.txt,9,17.1404,16.5593,12.0617,1.4211,1.8475,1.3729,0.2469,0.339,1.0351,0.2712,0.4746,0.3457,2.2373,1.6296
ELA0140_12.txt,12,22.1591,19.898,12.6623,1.75,2.1429,1.5714,0.2857,0.449,1.1136,0.3673,0.5918,0.3766,2.8163,1.7922
ELA0141_3.txt,3,8.6667,8.4783,6,1.4444,1.5,1.413,0.2,0.2826,1.0222,0.2391,0.2174,0.1538,0.8043,0.5692
ELA0142_5.txt,5,11.8077,11.3704,6.9773,1.6923,1.8889,1.6296,0.2841,0.463,1.0385,0.3704,0.2407,0.1477,1.2407,0.7614
ELA0143_7.txt,7,14.2,14.2,8.1609,1.74,2.06,1.74,0.3218,0.56,1,0.44,0.3,0.1724,1.6,0.9195
ELA0144_9.txt,9,18.7778,17.6042,9.2857,2.0222,2.5,1.8958,0.3626,0.6875,1.0667,0.5417,0.3958,0.2088,1.9792,1.044
ELA0145_12.txt,12,27.4333,21.6579,10.2875,2.6667,2.8158,2.1053,0.425,0.8947,1.2667,0.4737,0.4737,0.225,2.7105,1.2875
ELA0146_3.txt,3,8.1228,8.1228,6.7101,1.2105,1.4035,1.2105,0.1884,0.2281,1,0.2281,0.0877,0.0725,0.7193,0.5942
ELA0147_5.txt,5,10.7419,10.918,8.122,1.3226,1.6557,1.3443,0.2073,0.2787,0.9839,0.2459,0.2623,0.1951,1.2295,0.9146
ELA0148_7.txt,7,14.1724,13.7,9.6706,1.4655,1.7833,1.4167,0.2353,0.3333,1.0345,0.3167,0.3667,0.2588,1.7,1.2
ELA0149_9.txt,9,16.8679,16.8679,10.0449,1.6792,2.1698,1.6792,0.3371,0.566,1,0.3962,0.434,0.2584,2.2264,1.3258
ELA0150_12.txt,12,22.4167,20.6923,10.2152,2.1944,2.6923,2.0256,0.4051,0.8205,1.0833,0.5128,0.5128,0.2532,2.7436,1.3544
ELA0151_3.txt,3,9.125,9.2535,7.7294,1.1806,1.4225,1.1972,0.1647,0.1972,0.9861,0.1831,0.1127,0.0941,1.0704,0.8941
ELA0152_5.txt,5,11.5132,11.0759,8.4951,1.3553,1.6076,1.3038,0.2136,0.2785,1.0395,0.2278,0.1392,0.1068,1.3544,1.0388
ELA0153_7.txt,7,15.0128,14.1084,10.5495,1.4231,1.7229,1.3373,0.2432,0.3253,1.0641,0.3253,0.3855,0.2883,1.747,1.3063
ELA0154_9.txt,9,18.1154,17.0241,11.6777,1.5513,1.9398,1.4578,0.3223,0.4699,1.0641,0.4337,0.3855,0.2645,2.3735,1.6281
ELA0155_12.txt,12,21.0476,19.0108,12.9051,1.631,2.0323,1.4731,0.3139,0.4624,1.1071,0.3763,0.6129,0.4161,2.4839,1.6861
ELA0156_3.txt,3,7.6545,8.0962,6.7903,1.1273,1.3462,1.1923,0.1774,0.2115,0.9455,0.1923,0.2115,0.1774,0.8077,0.6774
ELA0157_5.txt,5,10.8462,11.371,7.5,1.4462,1.6774,1.5161,0.3404,0.5161,0.9538,0.371,0.3871,0.2553,1.4194,0.9362
ELA0158_7.txt,7,13.8525,14.322,9.7126,1.4262,1.7288,1.4746,0.3218,0.4746,0.9672,0.3729,0.4746,0.3218,1.7966,1.2184
ELA0159_9.txt,9,16.9615,17.2941,11.9189,1.4231,1.8235,1.451,0.3108,0.451,0.9808,0.2941,0.5882,0.4054,2.3529,1.6216
ELA0160_12.txt,12,17.3878,17.75,12,1.449,1.875,1.4792,0.3239,0.4792,0.9796,0.2917,0.5833,0.3944,2.4792,1.6761
ELA0161_3.txt,3,8.9878,9.0988,7.5204,1.1951,1.284,1.2099,0.1939,0.2346,0.9878,0.2099,0.1605,0.1327,1.3457,1.1122
ELA0162_5.txt,5,10.7037,11.2597,9.1263,1.1728,1.3636,1.2338,0.2211,0.2727,0.9506,0.2597,0.2597,0.2105,1.6364,1.3263
ELA0163_7.txt,7,13.7692,13.9844,10.7831,1.2769,1.4688,1.2969,0.2169,0.2812,0.9846,0.2344,0.4219,0.3253,2.1719,1.6747
ELA0164_9.txt,9,16.7,15.463,11.9286,1.4,1.5556,1.2963,0.2429,0.3148,1.08,0.2593,0.5185,0.4,2.3333,1.8
ELA0165_12.txt,12,23.1622,21.9744,12.4203,1.8649,2.1026,1.7692,0.3768,0.6667,1.0541,0.5128,0.7949,0.4493,3.4359,1.942
ELA0166_3.txt,3,8.6222,8.7519,7.012,1.2296,1.5714,1.2481,0.1747,0.218,0.9852,0.188,0.1128,0.0904,0.8271,0.6627
ELA0167_5.txt,5,11.84,12.0816,8.8358,1.34,1.8367,1.3673,0.2463,0.3367,0.98,0.2653,0.2857,0.209,1.1939,0.8731
ELA0168_7.txt,7,15.0115,15.0115,10.2835,1.4598,1.9885,1.4598,0.2913,0.4253,1,0.3218,0.3793,0.2598,1.7816,1.2205
ELA0169_12.txt,9,17.3012,17.5122,11.2188,1.5422,2.1341,1.561,0.3359,0.5244,0.988,0.3537,0.439,0.2812,2.1341,1.3672
ELA0170_12.txt,12,23.3472,23.3472,12.5448,1.8611,2.6389,1.8611,0.403,0.75,1,0.4861,0.5972,0.3209,2.8611,1.5373
ELA0171_3.txt,3,8.9538,9.0938,6.8471,1.3077,1.5469,1.3281,0.2588,0.3438,0.9846,0.3125,0.0781,0.0588,0.9844,0.7412
ELA0172_5.txt,5,12.2131,12.0161,8.0978,1.5082,1.7419,1.4839,0.3152,0.4677,1.0164,0.371,0.2419,0.163,1.1774,0.7935
